sensor,avg_rmse,backtest_runs
sensor_0_avg,4.750739840637752,3
sensor_1_avg,87.78251451658753,3
sensor_2_avg,32.31065150408947,3
sensor_5_avg,17.257749903245127,3
sensor_5_max,21.0428347214993,3
sensor_5_min,17.252585547999733,3
sensor_5_std,3.917331469220905,3
sensor_6_avg,4.756973332137217,3
sensor_7_avg,5.545846351123376,3
sensor_8_avg,29.678238661950868,3
sensor_9_avg,5.208182624502084,3
sensor_10_avg,4.4276423686126956,3
sensor_11_avg,10.278678332767795,3
sensor_12_avg,6.9033682447571,3
sensor_13_avg,12.007806321371662,3
sensor_14_avg,15.534234388306094,3
sensor_15_avg,28.46365636993973,3
sensor_16_avg,26.905451207466275,3
sensor_17_avg,26.981587335636558,3
sensor_18_avg,622.3685168285921,3
sensor_18_max,645.5105188908788,3
sensor_18_min,621.2114931027066,3
sensor_18_std,104.57178395191461,3
sensor_19_avg,7.663989624025736,3
sensor_20_avg,7.485245021550607,3
sensor_21_avg,4.701332552636074,3
sensor_22_avg,0.1855615337669988,3
sensor_23_avg,530.4261321120912,3
sensor_24_avg,535.7098212321918,3
sensor_25_avg,525.7997535966325,3
sensor_26_avg,0.009553022300127336,3
sensor_31_avg,0.03640717699700257,3
sensor_31_max,157.74074447551524,3
sensor_31_min,105.63363502956156,3
sensor_31_std,28.931569108489153,3
sensor_32_avg,1.6983720569572023,3
sensor_33_avg,1.7934899156485515,3
sensor_34_avg,2.4300789676717374,3
sensor_35_avg,5.348123802876756,3
sensor_36_avg,5.578222407983126,3
sensor_37_avg,5.180881548635047,3
sensor_38_avg,12.022306923801457,3
sensor_39_avg,13.333680312570069,3
sensor_40_avg,16.456630156514148,3
sensor_41_avg,8.64872180168048,3
sensor_42_avg,89.28306494717269,3
sensor_43_avg,5.2606648781369705,3
sensor_44,793.9393599978154,3
sensor_45,106977.56043289315,3
sensor_46,0.0,3
sensor_47,908.784819934137,3
sensor_48,12974.760659795918,3
sensor_49,0.0,3
sensor_50,107357.10192643905,3
sensor_51,12438.224746016493,3
sensor_52_avg,5.580372514007979,3
sensor_52_max,5.82746950957835,3
sensor_52_min,5.614694443124113,3
sensor_52_std,0.9393610453842722,3
sensor_53_avg,5.2401264055777075,3
